timestamp,target_population,current_population,object_type,operation,duration_sec,cpu_percent,memory_percent,status_code,error
2025-04-07T22:12:37.929671,10,9,projects,DELETE,0.0032426659599877894,0.0,80.9,200,
2025-04-07T22:12:37.932999,10,8,projects,CREATE,0.004352417017798871,0.0,80.9,201,
2025-04-07T22:12:38.367734,50,50,todos,CREATE,0.003079958027228713,0.0,80.9,201,
2025-04-07T22:12:38.370935,50,51,todos,CREATE,0.002913417003583163,0.0,80.9,201,
2025-04-07T22:12:38.373959,50,52,todos,CREATE,0.003281624987721443,0.0,80.9,201,
2025-04-07T22:12:38.377349,50,53,todos,UPDATE,0.005000167002435774,0.0,80.9,200,
2025-04-07T22:12:38.382466,50,53,todos,DELETE,0.0028190829907543957,0.0,80.9,200,
2025-04-07T22:12:38.385341,50,52,todos,DELETE,0.002824834024067968,0.0,80.9,200,
2025-04-07T22:12:38.388213,50,51,todos,UPDATE,0.003286166989710182,0.0,80.9,200,
2025-04-07T22:12:38.391679,50,51,todos,CREATE,0.0031935409642755985,0.0,80.9,201,
2025-04-07T22:12:38.394951,50,52,todos,UPDATE,0.003249000001233071,0.0,80.9,200,
2025-04-07T22:12:38.398360,50,52,todos,CREATE,0.005348208011128008,0.0,80.9,201,
2025-04-07T22:12:38.403806,50,50,categories,DELETE,0.0025673750205896795,0.0,80.9,200,
2025-04-07T22:12:38.406550,50,49,categories,CREATE,0.0027250410057604313,0.0,80.9,201,
2025-04-07T22:12:38.409330,50,50,categories,CREATE,0.002786375000141561,0.0,80.9,201,
2025-04-07T22:12:38.412228,50,51,categories,CREATE,0.0025309170014224946,0.0,80.9,201,
2025-04-07T22:12:38.414919,50,52,categories,DELETE,0.003480750019662082,0.0,80.9,200,
2025-04-07T22:12:38.418481,50,51,categories,UPDATE,0.005410625017248094,0.0,80.9,200,
2025-04-07T22:12:38.423979,50,51,categories,CREATE,0.003871207998599857,0.0,80.9,201,
2025-04-07T22:12:38.427906,50,52,categories,CREATE,0.0029116669902577996,0.0,80.9,201,
2025-04-07T22:12:38.430913,50,53,categories,CREATE,0.0028850000235252082,0.0,80.9,201,
2025-04-07T22:12:38.433884,50,54,categories,CREATE,0.002490875020157546,0.0,80.9,201,
2025-04-07T22:12:38.436463,50,50,projects,UPDATE,0.004116458992939442,0.0,80.9,200,
2025-04-07T22:12:38.440809,50,50,projects,DELETE,0.008615583006758243,0.0,80.9,200,
2025-04-07T22:12:38.449493,50,49,projects,DELETE,0.0028417499852366745,0.0,80.9,200,
2025-04-07T22:12:38.452449,50,48,projects,DELETE,0.0024710000143386424,0.0,80.9,200,
2025-04-07T22:12:38.454999,50,47,projects,DELETE,0.0038437909679487348,0.0,80.9,200,
2025-04-07T22:12:38.459037,50,46,projects,DELETE,0.004977624979801476,0.0,80.9,200,
